1,Carimbo de data/hora,EMPRESA,MOTIVOS,,,,,,
,,,,,,,,,
2,27/03/2024 06:41:28,99,São racistas e nem sabem disfarçar. Já vi muita gente fazendo piada com as poucas pessoas negras nos times e nada foi feito. Péssimos!,,,,,,
3,27/03/2024 11:36:24,99,"Empresa que paga de ""cool"" mas acoberta diretor (incompetente) racista, homofóbico e machista. Alta liderança feita majoritariamente por homens, enquanto pregam empreendedorismo feminino por aí. Sem contar a instabilidade e imaturidade do negócio como um todo. Estamos cansados e estressados.",,,,,,
4,27/03/2024 11:41:43,99,"Péssima empresa para trabalhar!! Líderes de MKT e Comunicação incapacitados, equipes não se conversam para seguir a estratégia proposta, ambiente tóxico, cheio de falsidade e assédio moral. Empresa zero empenhada em desenvolver profissionais e tirar o melhor deles, afinal muito mais fácil começar a excluir quem não serve mais de tudo que é prioridade e depois mandar embora porque não tem resultado.",,,,,,
5,27/03/2024 12:06:45,99,"Racistas, machistas, gordofóbicos, transfóbicos...Um antro de homem branco babaca e tóxico que até dói.",,,,,,
6,27/03/2024 12:07:41,99,"Fui demitida da noite pro dia com a cara de pau de dizerem que não precisavam mais de mim pois já tinham sugado todo meu conhecimento estratégico, e agora precisavam de gente pra executar e não pensar",,,,,,
7,27/03/2024 12:08:48,99,Completamente delulus e absurdamente fora da realidade. Acham que são incríveis fazendo o mínimo e o básico pra funcionários e motoristas.,,,,,,
8,27/03/2024 12:10:07,99,"Sabem o caso da moça que foi estuprada em BH pq o motorista da 99 tirou ela do carro desacordada e ABANDONOU ela na rua? Pois então: a 99 PAGOU ADVOGADO PARA DEFENDER O MOTORISTA e livrar ele da acusação de abandono de incapaz, sem contar que tirou o cu da reta completamente, negando a responsabilidade",,,,,,
9,27/03/2024 15:20:59,Centrotec contabilidade Rio Claro,"Acúmulo de função, Gestores abusivo e dona tbm",,,,,,
10,25/03/2024 17:31:26,grupofreela,chefe é um filinho de papai que fica brincando de ser empresario,,,,,,
11,27/03/2024 12:36:54,NW Vicentini - Representação Comercial,"Empresa arrombada que orienta os funcionários a não se filiar ao sindicato para não pagar os benefícios da CCT (VA, triênio e PLR), dono com mentalidade de funcionário, preguiçoso, larga tudo pros outros fazer e tem fortes tendências mitomaniacas, narcisistas e misóginas.",,,,,,
